code_service,nom_service,code_dept
1,DIDPAF PREVESSIN 01,01
2,CIAT DE BOURG EN BRESSE,01
3,CIAT D'OYONNAX,01
4,CIAT DE CHATEAU THIERRY,02
5,CIAT DE LAON,02
6,CIAT DE SOISSONS,02
7,CIAT DE ST QUENTIN,02
8,CIAT DE TERGNIER LA FERE,02
9,CIAT DE MONTLUCON,03
10,CIAT DE MOULINS,03
11,CIAT DE VICHY,03
12,CIAT DE DIGNE,04
13,CIAT DE MANOSQUE,04
14,DIDPAF MONTGENEVRE 05,05
15,CIAT DE BRIANCON,05
16,CIAT DE GAP,05
17,BMRA 06,06
18,SPAFA NICE COTE D'AZUR,06
19,SPAFT MENTON,06
20,ANTENNE PJ DE NICE,06
21,CIAT CENTRAL DE NICE,06
22,CIAT D'ANTIBES,06
23,CIAT DE CAGNES SUR MER,06
24,CIAT DE CANNES,06
25,CIAT DE GRASSE,06
26,CIAT DE MENTON,06
27,CIAT D'AUBENAS,07
28,CIAT DE GUILHERAND GRANGES,07
29,CIAT DE PRIVAS,07
30,CIAT DE CHARLEVILLE MEZIERES,08
31,CIAT DE SEDAN,08
32,CIAT DE FOIX,09
33,CIAT DE PAMIERS,09
34,CIAT CENTRAL DE TROYES,10
35,DDPAF AUDE 11,11
36,CIAT DE CARCASSONNE,11
37,CIAT DE CASTELNAUDARY,11
38,CIAT DE NARBONNE,11
39,CIAT DE DECAZEVILLE,12
40,CIAT DE MILLAU,12
41,CIAT DE RODEZ,12
42,BMRZ SUD,13
43,SPAFA MARSEILLE PROVENCE,13
44,SPAFP MARSEILLE,13
45,SRPJ DE MARSEILLE,13
46,CIAT D'AIX EN PROVENCE,13
47,CIAT D'ARLES,13
48,CIAT D'AUBAGNE,13
49,CIAT DE LA CIOTAT,13
50,CIAT DE MARIGNANE,13
51,CIAT DE MARSEILLE 1ER ARRT,13
52,CIAT DE MARSEILLE 2EME ARRT,13
53,CIAT DE MARSEILLE 8EME ARRT,13
54,CIAT DE MARTIGUES,13
55,CIAT DE SALON DE PROVENCE,13
56,CIAT DE VITROLLES,13
57,CIAT D'ISTRES,13
58,CISP DE TARASCON BEAUCAIRE,13
59,DSP MARSEILLE CENTRE,13
60,DSP MARSEILLE NORD,13
61,DSP MARSEILLE SUD,13
62,SURETE DEPARTEMENTALE DES BOUCHES DU RHO,13
63,UNITE DE RECHERCHE JUDICIAIRE 13,13
64,BMRA 14,14
65,CIAT CENTRAL DE CAEN,14
66,CIAT DE DEAUVILLE,14
67,CIAT DE DIVES SUR MER,14
68,CIAT DE HONFLEUR,14
69,CIAT DE LISIEUX,14
70,CIAT D'AURILLAC,15
71,CIAT CENTRAL D'ANGOULEME,16
72,CIAT DE COGNAC,16
73,CIAT CENTRAL DE LA ROCHELLE,17
74,CIAT DE ROCHEFORT,17
75,CIAT DE ROYAN,17
76,CIAT DE SAINTES,17
77,CIAT CENTRAL DE BOURGES,18
78,CIAT DE VIERZON,18
79,CIAT DE BRIVE,19
80,CIAT DE TULLE,19
81,CIAT D'USSEL,19
82,BMRA 21,21
83,DIPJ DE DIJON,21
84,CIAT CENTRAL DE DIJON,21
85,CIAT DE BEAUNE,21
86,CIAT DE DINAN,22
87,CIAT DE LANNION,22
88,CIAT DE ST BRIEUC,22
89,CIAT DE GUERET,23
90,ANTENNE PJ DE PERIGUEUX,24
91,CIAT DE BERGERAC,24
92,CIAT DE PERIGUEUX,24
93,SPAFT PONTARLIER,25
94,CIAT CENTRAL DE BESANCON,25
95,CIAT DE PONTARLIER,25
96,CISP MONTBELIARD,25
97,ANTENNE PJ DE VALENCE,26
98,CIAT CENTRAL DE VALENCE,26
99,CIAT DE MONTELIMAR,26
100,CIAT DE ROMANS,26
101,CIAT DE VAL DE REUIL,27
102,CIAT DE VERNON,27
103,CIAT D'EVREUX,27
104,CIAT DE CHARTRES,28
105,CIAT DE DREUX,28
106,CIAT CENTRAL DE BREST,29
107,CIAT DE CONCARNEAU,29
108,CIAT DE MORLAIX,29
109,CIAT DE QUIMPER,29
110,SPAFA AJACCIO CAMPO DELL ORO,2A
111,DRPJ D'AJACCIO,2A
112,CIAT CENTRAL D'AJACCIO,2A
113,SPAFA BASTIA PORETTA,2B
114,CIAT DE BASTIA,2B
115,DDPAF GARD 30,30
116,CIAT CENTRAL DE NIMES,30
117,CIAT D'ALES,30
118,CIAT DE BAGNOLS SUR CEZE,30
119,DIDPAF TOULOUSE 31,31
120,SRPJ DE TOULOUSE,31
121,CIAT CENTRAL DE TOULOUSE,31
122,CIAT DE ST GAUDENS,31
123,CIAT D'AUCH,32
124,BMRZ SUD OUEST,33
125,SPAFA BORDEAUX MERIGNAC,33
126,SRPJ DE BORDEAUX,33
127,CIAT CENTRAL DE BORDEAUX,33
128,CIAT D'ARCACHON,33
129,BMRA 34,34
130,SPAFP SETE,34
131,SRPJ DE MONTPELLIER,34
132,CIAT CENTRAL DE MONTPELLIER,34
133,CIAT D'AGDE,34
134,CIAT DE BEZIERS,34
135,CIAT DE SETE,34
136,BCFZ OUEST,35
137,BMRZ OUEST,35
138,SPAFA SAINT MALO,35
139,USG 35,35
140,SRPJ DE RENNES,35
141,CIAT CENTRAL DE RENNES,35
142,CIAT DE FOUGERES,35
143,CIAT DE ST MALO,35
144,CIAT DE CHATEAUROUX,36
145,CIAT CENTRAL DE TOURS,37
146,BMRA 38,38
147,ANTENNE PJ DE GRENOBLE,38
148,CIAT CENTRAL DE GRENOBLE,38
149,CIAT DE BOURGOIN JALLIEU,38
150,CIAT DE VIENNE,38
151,CIAT DE VOIRON,38
152,CIAT DE DOLE,39
153,CIAT DE LONS LE SAUNIER,39
154,CIAT DE DAX,40
155,CIAT DE MONT DE MARSAN,40
156,CIAT DE BLOIS,41
157,CIAT DE ROMORANTIN,41
158,CIAT DE VENDOME,41
159,ANTENNE PJ DE ST ETIENNE,42
160,CIAT CENTRAL DE ST ETIENNE,42
161,CIAT DE ROANNE,42
162,CIAT DE ST CHAMOND,42
163,CIAT D'ONDAINE,42
164,CIAT DU PUY EN VELAY,43
165,BMRA 44,44
166,SPAFA NANTES ATLANTIQUE,44
167,USG 44,44
168,CIAT CENTRAL DE NANTES,44
169,CIAT DE LA BAULE,44
170,CIAT DE ST NAZAIRE,44
171,BMRA 45,45
172,SRPJ D'ORLEANS,45
173,CIAT CENTRAL D'ORLEANS,45
174,CIAT DE MONTARGIS,45
175,CIAT DE CAHORS,46
176,CIAT D'AGEN,47
177,CIAT DE VILLENEUVE SUR LOT,47
178,CIAT DE MENDE,48
179,SRPJ D'ANGERS,49
180,CIAT CENTRAL D'ANGERS,49
181,CIAT DE CHOLET,49
182,CIAT DE SAUMUR,49
183,BMRA 50,50
184,DIDPAF CHERBOURG 50,50
185,CIAT DE CHERBOURG,50
186,CIAT DE COUTANCES,50
187,CIAT DE GRANVILLE,50
188,CIAT DE ST LO,50
189,SRPJ DE REIMS,51
190,CIAT CENTRAL DE REIMS,51
191,CIAT DE CHALONS EN CHAMPAGNE,51
192,CIAT D'EPERNAY,51
193,CIAT DE CHAUMONT,52
194,CIAT DE ST DIZIER,52
195,CIAT DE LAVAL,53
196,DDPAF MEURTHE ET MOSELLE 54,54
197,SRPJ DE NANCY,54
198,CIAT CENTRAL DE NANCY,54
199,CIAT DE BRIEY,54
200,CIAT DE CONFLANS EN JARNISY,54
201,CIAT DE DOMBASLE,54
202,CIAT DE LONGWY,54
203,CIAT DE LUNEVILLE,54
204,CIAT DE PONT A MOUSSON,54
205,CIAT DE TOUL,54
206,CIAT DE VILLERUPT,54
207,CIAT DE BAR LE DUC,55
208,CIAT DE VERDUN,55
209,CIAT DE LORIENT,56
210,CIAT DE VANNES,56
211,BMRZ EST,57
212,SPAFT FORBACH,57
213,SPAFT METZ,57
214,SPAFT THIONVILLE,57
215,CIAT CENTRAL DE METZ,57
216,CIAT DE FORBACH,57
217,CIAT DE FREYMING MERLEBACH,57
218,CIAT DE SARREBOURG,57
219,CIAT DE SARREGUEMINES,57
220,CIAT DE THIONVILLE,57
221,CIAT D'HAGONDANGE,57
222,CIAT DE NEVERS,58
223,BMRZ NORD,59
224,SPAFP DUNKERQUE,59
225,SPAFT LILLE,59
226,UJI VALENCIENNES,59
227,DIPJ DE LILLE,59
228,CIAT D'ANICHE,59
229,CIAT D'AULNOYE,59
230,CIAT DE CONDE SUR ESCAUT,59
231,CIAT DE DENAIN,59
232,CIAT DE GRAVELINES,59
233,CIAT DE JEUMONT,59
234,CIAT DE SOMAIN,59
235,CIAT DE ST AMAND LES EAUX,59
236,CIAT SUB DE LA MADELEINE,59
237,CIAT SUB DE LOMME,59
238,CIAT SUB DE MARCQ EN BAROEUL,59
239,CIAT SUB DE VILLENEUVE D'ASCQ,59
240,CIAT SUB DE WATTIGNIES,59
241,CSP DE CAMBRAI,59
242,CSP DE DOUAI AGGLOMERATION,59
243,CSP DE DUNKERQUE AGGLOMERATION,59
244,CSP DE MAUBEUGE AGGLOMERATION,59
245,CSP DE VALENCIENNES AGGLOMERATION,59
246,CSP D'HAZEBROUCK,59
247,DSP D'ARMENTIERES,59
248,DSP DE BAILLEUL,59
249,DSP DE LILLE,59
250,DSP DE ROUBAIX,59
251,DSP DE TOURCOING,59
252,SURETE URBAINE DE LILLE,59
253,DDPAF BEAUVAIS 60,60
254,CIAT DE BEAUVAIS,60
255,CIAT DE COMPIEGNE,60
256,CIAT DE CREIL,60
257,CIAT D'ALENCON,61
258,CIAT D'ARGENTAN,61
259,CIAT DE FLERS,61
260,DIDPAF CALAIS 62,62
261,CIAT D'ARRAS,62
262,CIAT D'AUCHEL,62
263,CIAT D'AVION,62
264,CIAT DE BERCK,62
265,CIAT DE BETHUNE,62
266,CIAT DE BOULOGNE SUR MER,62
267,CIAT DE BRUAY LA BUISSIERE,62
268,CIAT DE CALAIS,62
269,CIAT DE LENS,62
270,CIAT DE MARLES LES MINES,62
271,CIAT DE NOEUX LES MINES,62
272,CIAT DE ST OMER,62
273,CIAT DU TOUQUET,62
274,DIDPAF CLERMONT FERRAND 63,63
275,SRPJ DE CLERMONT FERRAND,63
276,CIAT CENTRAL DE CLERMONT FERRAND,63
277,CIAT DE COURNON D'AUVERGNE,63
278,CIAT DE GERZAT,63
279,CIAT DE RIOM,63
280,DIDPAF HENDAYE 64,64
281,ANTENNE PJ DE BAYONNE,64
282,ANTENNE PJ DE PAU,64
283,CIAT CENTRAL DE PAU,64
284,CIAT DE BAYONNE,64
285,CIAT DE BIARRITZ,64
286,CIAT DE ST JEAN DE LUZ,64
287,CIAT DE LOURDES,65
288,CIAT DE TARBES,65
289,DIDPAF PERPIGNAN 66,66
290,ANTENNE PJ DE PERPIGNAN,66
291,CIAT CENTRAL DE PERPIGNAN,66
292,DIDPAF STRASBOURG 67,67
293,SRPJ DE STRASBOURG,67
294,CIAT CENTRAL DE STRASBOURG,67
295,CIAT DE SELESTAT,67
296,CIAT D'HAGUENAU,67
297,DDPAF HAUT RHIN 68,68
298,CIAT CENTRAL DE MULHOUSE,68
299,CIAT DE COLMAR,68
300,CIAT DE GUEBWILLER,68
301,CIAT DE ST LOUIS,68
302,CIAT DE WITTENHEIM,68
303,BCFZ SUD EST,69
304,BMRZ SUD EST,69
305,SPAFA LYON SAINT EXUPERY,69
306,SPAFT LYON,69
307,SRPJ DE LYON,69
308,CIAT DE GIVORS,69
309,CIAT DE VILLEFRANCHE SUR SAONE,69
310,CIAT SUB DE BRON,69
311,CIAT SUB DE CALUIRE ET CUIRE,69
312,CIAT SUB DE LYON 1ER ARRT,69
313,CIAT SUB DE LYON 2EME ARRT,69
314,CIAT SUB DE LYON 3EME ET 6EME ARRTS,69
315,CIAT SUB DE LYON 5EME ARRT,69
316,CIAT SUB DE LYON 7EME ARRT,69
317,CIAT SUB DE LYON 8EME ARRT,69
318,CIAT SUB DE LYON 9EME ARRT,69
319,CIAT SUB DE MEYZIEU,69
320,CIAT SUB DE RILLIEUX LA PAPE,69
321,CIAT SUB DE ST PRIEST,69
322,CIAT SUB DE VAULX EN VELIN,69
323,CIAT SUB DE VENISSIEUX,69
324,CIAT SUB DE VILLEURBANNE,69
325,CIAT SUB D'OULLINS,69
326,SD LYON BAG,69
327,CIAT DE VESOUL,70
328,CS HERICOURT,70
329,CIAT DE CHALON SUR SAONE,71
330,CIAT DE MACON,71
331,CIAT DE MONTCEAU LES MINES,71
332,CIAT DU CREUSOT,71
333,CIAT CENTRAL DU MANS,72
334,SPAFT CHAMBERY,73
335,SPAFT MODANE,73
336,CIAT D'AIX LES BAINS,73
337,CIAT D'ALBERTVILLE,73
338,CIAT DE CHAMBERY,73
339,DDPAF HAUTE SAVOIE 74,74
340,ANTENNE PJ D'ANNECY,74
341,CIAT CENTRAL D'ANNECY,74
342,CIAT D'ANNEMASSE,74
343,CIAT DU LEMAN,74
344,DCPAF BCF,75
345,DIV PREV REPRESSION DELINQUANCE ROUTIERE,75
346,1ER DISTRICT DE POLICE JUDICIAIRE,75
347,2EME DISTRICT DE POLICE JUDICIAIRE,75
348,3EME DISTRICT DE POLICE JUDICIAIRE,75
349,BRIGADE CRIMINELLE,75
350,BRIGADE DE LA DELINQUANCE ASTUCIEUSE,75
351,BRIGADE DE LA DELINQUANCE DE LA PERSONNE,75
352,BRIGADE DE LA DELINQUANCE ECONOMIQUE,75
353,BRIGADE DE PROTECTION DES MINEURS,75
354,BRIGADE DE REPRESSION DU BANDITISME,75
355,BRIGADE DE REPRESSION DU PROXENETISME,75
356,BRIGADE DES INVESTIGATIONS FINANCIERES,75
357,BRIGADE DES STUPEFIANTS,75
358,BRIGADE FINANCIERE,75
359,BRIGADE FRAUDES AUX MOYENS DE PAIEMENT,75
360,BRIGADE FRAUDES TECHNOLOGIES DE L'INFO,75
361,DTSP75 01ER ARRONDISSEMENT,75
362,DTSP75 02EME ARRONDISSEMENT,75
363,DTSP75 03EME ARRONDISSEMENT,75
364,DTSP75 04EME ARRONDISSEMENT,75
365,DTSP75 05EME ET 06EME ARRONDISSEMENTS,75
366,DTSP75 06EME ARRONDISSEMENT,75
367,DTSP75 07EME ARRONDISSEMENT,75
368,DTSP75 08EME ARRONDISSEMENT,75
369,DTSP75 09EME ARRONDISSEMENT,75
370,DTSP75 10EME ARRONDISSEMENT,75
371,DTSP75 11EME ARRONDISSEMENT,75
372,DTSP75 12EME ARRONDISSEMENT,75
373,DTSP75 13EME ARRONDISSEMENT,75
374,DTSP75 14EME ARRONDISSEMENT,75
375,DTSP75 15EME ARRONDISSEMENT,75
