code_service,id_perimetre
1,PN
2,PN
3,PN
4,PN
5,PN
6,PN
7,PN
8,PN
9,PN
10,PN
11,PN
12,PN
13,PN
14,PN
15,PN
16,PN
17,PN
18,PN
19,PN
20,PN
21,PN
22,PN
23,PN
24,PN
25,PN
26,PN
27,PN
28,PN
29,PN
30,PN
31,PN
32,PN
33,PN
34,PN
35,PN
36,PN
37,PN
38,PN
39,PN
40,PN
41,PN
42,PN
43,PN
44,PN
45,PN
46,PN
47,PN
48,PN
49,PN
50,PN
51,PN
52,PN
53,PN
54,PN
55,PN
56,PN
57,PN
58,PN
59,PN
60,PN
61,PN
62,PN
63,PN
64,PN
65,PN
66,PN
67,PN
68,PN
69,PN
70,PN
71,PN
72,PN
73,PN
74,PN
75,PN
76,PN
77,PN
78,PN
79,PN
80,PN
81,PN
82,PN
83,PN
84,PN
85,PN
86,PN
87,PN
88,PN
89,PN
90,PN
91,PN
92,PN
93,PN
94,PN
95,PN
96,PN
97,PN
98,PN
99,PN
100,PN
101,PN
102,PN
103,PN
104,PN
105,PN
106,PN
107,PN
108,PN
109,PN
110,PN
111,PN
112,PN
113,PN
114,PN
115,PN
116,PN
117,PN
118,PN
119,PN
120,PN
121,PN
122,PN
123,PN
124,PN
125,PN
126,PN
127,PN
128,PN
129,PN
130,PN
131,PN
132,PN
133,PN
134,PN
135,PN
136,PN
137,PN
138,PN
139,PN
140,PN
141,PN
142,PN
143,PN
144,PN
145,PN
146,PN
147,PN
148,PN
149,PN
150,PN
151,PN
152,PN
153,PN
154,PN
155,PN
156,PN
157,PN
158,PN
159,PN
160,PN
161,PN
162,PN
163,PN
164,PN
165,PN
166,PN
167,PN
168,PN
169,PN
170,PN
171,PN
172,PN
173,PN
174,PN
175,PN
176,PN
177,PN
178,PN
179,PN
180,PN
181,PN
182,PN
183,PN
184,PN
185,PN
186,PN
187,PN
188,PN
189,PN
190,PN
191,PN
192,PN
193,PN
194,PN
195,PN
196,PN
197,PN
198,PN
199,PN
200,PN
201,PN
202,PN
203,PN
204,PN
205,PN
206,PN
207,PN
208,PN
209,PN
210,PN
211,PN
212,PN
213,PN
214,PN
215,PN
216,PN
217,PN
218,PN
219,PN
220,PN
221,PN
222,PN
223,PN
224,PN
225,PN
226,PN
227,PN
228,PN
229,PN
230,PN
231,PN
232,PN
233,PN
234,PN
235,PN
236,PN
237,PN
238,PN
239,PN
240,PN
241,PN
242,PN
243,PN
244,PN
245,PN
246,PN
247,PN
248,PN
249,PN
250,PN
251,PN
252,PN
253,PN
254,PN
255,PN
256,PN
257,PN
258,PN
259,PN
260,PN
261,PN
262,PN
263,PN
264,PN
265,PN
266,PN
267,PN
268,PN
269,PN
270,PN
271,PN
272,PN
273,PN
274,PN
275,PN
276,PN
277,PN
278,PN
279,PN
280,PN
281,PN
282,PN
283,PN
284,PN
285,PN
286,PN
287,PN
288,PN
289,PN
290,PN
291,PN
292,PN
293,PN
294,PN
295,PN
296,PN
297,PN
298,PN
299,PN
300,PN
301,PN
302,PN
303,PN
304,PN
305,PN
306,PN
307,PN
308,PN
309,PN
310,PN
311,PN
312,PN
313,PN
314,PN
315,PN
316,PN
317,PN
318,PN
319,PN
320,PN
321,PN
322,PN
323,PN
324,PN
325,PN
326,PN
327,PN
328,PN
329,PN
330,PN
331,PN
332,PN
333,PN
334,PN
335,PN
336,PN
337,PN
338,PN
339,PN
340,PN
341,PN
342,PN
343,PN
344,PN
345,PN
346,PN
347,PN
348,PN
349,PN
350,PN
351,PN
352,PN
353,PN
354,PN
355,PN
356,PN
357,PN
358,PN
359,PN
360,PN
361,PN
362,PN
363,PN
364,PN
365,PN
366,PN
367,PN
368,PN
369,PN
370,PN
371,PN
372,PN
373,PN
374,PN
375,PN
376,PN
377,PN
378,PN
379,PN
380,PN
381,PN
382,PN
383,PN
384,PN
385,PN
386,PN
387,PN
388,PN
389,PN
390,PN
391,PN
392,PN
393,PN
394,PN
395,PN
396,PN
397,PN
398,PN
399,PN
400,PN
401,PN
402,PN
403,PN
404,PN
405,PN
406,PN
407,PN
408,PN
409,PN
410,PN
411,PN
412,PN
413,PN
414,PN
415,PN
416,PN
417,PN
418,PN
419,PN
420,PN
421,PN
422,PN
423,PN
424,PN
425,PN
426,PN
427,PN
428,PN
429,PN
430,PN
431,PN
432,PN
433,PN
434,PN
435,PN
436,PN
437,PN
438,PN
439,PN
440,PN
441,PN
442,PN
443,PN
444,PN
445,PN
446,PN
447,PN
448,PN
449,PN
450,PN
451,PN
452,PN
453,PN
454,PN
455,PN
456,PN
457,PN
458,PN
459,PN
460,PN
461,PN
462,PN
463,PN
464,PN
465,PN
466,PN
467,PN
468,PN
469,PN
470,PN
471,PN
472,PN
473,PN
474,PN
475,PN
476,PN
477,PN
478,PN
479,PN
480,PN
481,PN
482,PN
483,PN
484,PN
485,PN
486,PN
487,PN
488,PN
489,PN
490,PN
491,PN
492,PN
493,PN
494,PN
495,PN
496,PN
497,PN
498,PN
499,PN
500,PN
501,PN
502,PN
503,PN
504,PN
505,PN
506,PN
507,PN
508,PN
509,PN
510,PN
511,PN
512,PN
513,PN
514,PN
515,PN
516,PN
517,PN
518,PN
519,PN
520,PN
521,PN
522,PN
523,PN
524,PN
525,PN
526,PN
527,PN
528,PN
529,PN
530,PN
531,PN
532,PN
533,PN
534,PN
535,PN
536,PN
537,PN
538,PN
539,PN
540,PN
541,PN
542,PN
543,PN
544,PN
545,PN
546,PN
547,PN
548,PN
549,PN
550,PN
551,PN
552,PN
553,PN
554,PN
555,PN
556,PN
557,PN
558,PN
559,PN
560,PN
561,PN
562,PN
563,PN
564,PN
565,PN
566,PN
567,PN
568,PN
569,PN
570,PN
571,PN
572,PN
573,PN
574,PN
575,PN
576,PN
577,PN
578,PN
579,PN
580,PN
581,PN
582,PN
583,PN
584,PN
585,PN
586,PN
587,PN
588,PN
589,PN
590,PN
591,PN
592,PN
593,PN
594,PN
595,PN
596,PN
597,PN
598,PN
599,PN
600,PN
601,PN
602,PN
603,PN
604,PN
605,PN
606,PN
607,PN
608,PN
609,PN
610,PN
611,PN
612,PN
613,PN
614,PN
615,PN
616,PN
617,PN
618,PN
619,PN
620,PN
621,PN
622,PN
623,PN
624,PN
625,PN
626,PN
627,PN
628,PN
629,PN
630,PN
631,PN
632,PN
633,PN
634,PN
635,PN
636,PN
637,PN
638,PN
639,PN
640,PN
641,PN
642,PN
643,PN
644,PN
645,PN
646,PN
647,PN
648,PN
649,PN
650,PN
651,PN
652,PN
653,PN
654,PN
655,PN
656,PN
657,PN
658,PN
659,PN
